date,daily_cases,cumulative_cases,deaths
2020-02-28,1,1,0
2020-02-29,0,1,0
2020-03-01,2,3,0
2020-03-02,1,4,0
2020-03-03,3,7,0
2020-03-04,6,13,0
2020-03-05,2,15,0
2020-03-06,6,21,0
2020-03-07,6,27,0
2020-03-08,3,30,0
2020-03-09,16,46,0
2020-03-10,21,67,0
2020-03-11,25,92,0
2020-03-12,38,130,1
2020-03-13,48,178,1
2020-03-14,19,197,3
2020-03-15,12,209,3
2020-03-16,21,230,4
2020-03-17,43,273,6
2020-03-18,41,314,6
2020-03-19,50,364,9
2020-03-20,84,448,14
2020-03-21,67,515,20
2020-03-22,74,589,25
2020-03-23,138,727,29
2020-03-24,167,894,36
2020-03-25,188,1082,47
2020-03-26,223,1305,59
2020-03-27,274,1579,70
2020-03-28,204,1783,99
2020-03-29,197,1980,119
2020-03-30,317,2297,149
2020-03-31,341,2638,187
2020-04-01,389,3027,233
2020-04-02,351,3378,269
2020-04-03,381,3759,327
2020-04-04,260,4019,355
2020-04-05,225,4244,402
2020-04-06,404,4648,465
2020-04-07,352,5000,514
2020-04-08,343,5343,568
2020-04-09,304,5647,634
2020-04-10,329,5976,692
2020-04-11,185,6161,742
2020-04-12,220,6381,790
2020-04-13,359,6740,831
2020-04-14,346,7086,882
2020-04-15,331,7417,924
2020-04-16,428,7845,967
2020-04-17,394,8239,1005
2020-04-18,264,8503,1057
2020-04-19,159,8662,1103
2020-04-20,348,9010,1164
2020-04-21,400,9410,1215
2020-04-22,340,9750,1261
2020-04-23,314,10064,1310
2020-04-24,306,10370,1348
2020-04-25,184,10554,1396
2020-04-26,171,10725,1439
2020-04-27,434,11159,1499
2020-04-28,383,11542,1539
2020-04-29,431,11973,1577
2020-04-30,337,12310,1620
2020-05-01,375,12685,1668
2020-05-02,222,12907,1712
2020-05-03,188,13095,1749
2020-05-04,330,13425,1789
2020-05-05,288,13713,1839
2020-05-06,307,14020,1882
2020-05-07,297,14317,1922
2020-05-08,258,14575,1956
2020-05-09,180,14755,1990
2020-05-10,153,14908,2018
2020-05-11,265,15173,2050
2020-05-12,230,15403,2081
2020-05-13,198,15601,2123
2020-05-14,211,15812,2158
2020-05-15,151,15963,2184
2020-05-16,103,16066,2213
2020-05-17,93,16159,2239
2020-05-18,141,16300,2262
2020-05-19,182,16482,2290
2020-05-20,121,16603,2312
2020-05-21,111,16714,2336
2020-05-22,91,16805,2353
2020-05-23,50,16855,2364
2020-05-24,53,16908,2372
2020-05-25,96,17004,2386
2020-05-26,478,17482,2400
2020-05-27,66,17548,2416
2020-05-28,55,17603,2432
2020-05-29,30,17633,2443
2020-05-30,40,17673,2449
2020-05-31,23,17696,2455
2020-06-01,38,17734,2458
2020-06-02,46,17780,2464
2020-06-03,34,17814,2472
2020-06-04,35,17849,2473
2020-06-05,24,17873,2482
2020-06-06,22,17895,2485
2020-06-07,17,17912,2492
2020-06-08,18,17930,2498
2020-06-09,27,17957,2499
2020-06-10,29,17986,2504
2020-06-11,21,18007,2506
2020-06-12,30,18037,2508
2020-06-13,22,18059,2511
2020-06-14,13,18072,2515
2020-06-15,21,18093,2518
2020-06-16,17,18110,2524
2020-06-17,33,18143,2527
2020-06-18,14,18157,2530
2020-06-19,24,18181,2530
2020-06-20,6,18187,2533
2020-06-21,9,18196,2535
2020-06-22,10,18206,2538
2020-06-23,20,18226,2539
2020-06-24,8,18234,2540
2020-06-25,19,18253,2540
2020-06-26,6,18259,2540
2020-06-27,4,18263,2544
2020-06-28,3,18266,2545
2020-06-29,14,18280,2546
2020-06-30,8,18288,2546
2020-07-01,11,18299,2546
2020-07-02,13,18312,2546
2020-07-03,6,18318,2547
2020-07-04,5,18323,2547
2020-07-05,2,18325,2548
2020-07-06,8,18333,2548
2020-07-07,11,18344,2548
2020-07-08,10,18354,2548
2020-07-09,8,18362,2548
2020-07-10,12,18374,2548
2020-07-11,9,18383,2548
2020-07-12,2,18385,2548
2020-07-13,18,18403,2548
2020-07-14,10,18413,2548
2020-07-15,16,18429,2548
2020-07-16,21,18450,2548
2020-07-17,8,18458,2548
2020-07-18,13,18471,2548
2020-07-19,17,18488,2548
2020-07-20,13,18501,2548
2020-07-21,19,18520,2548
2020-07-22,16,18536,2548
2020-07-23,23,18559,2548
2020-07-24,11,18570,2548
2020-07-25,3,18573,2549
2020-07-26,7,18580,2549
2020-07-27,13,18593,2549
2020-07-28,22,18615,2549
2020-07-29,28,18643,2549
2020-07-30,27,18670,2549
2020-07-31,21,18691,2549
2020-08-01,22,18713,2549
2020-08-02,19,18732,2549
2020-08-03,60,18792,2549
2020-08-04,57,18849,2549
2020-08-05,64,18913,2549
2020-08-06,62,18975,2549
2020-08-07,46,19021,2549
2020-08-08,27,19048,2549
2020-08-09,26,19074,2549
2020-08-10,57,19131,2549
2020-08-11,64,19195,2549
2020-08-12,48,19243,2549
2020-08-13,52,19295,2549
2020-08-14,50,19345,2549
2020-08-15,20,19365,2549
2020-08-16,30,19395,2549
2020-08-17,72,19467,2549
2020-08-18,77,19544,2549
2020-08-19,91,19635,2550
2020-08-20,140,19775,2550
2020-08-21,90,19865,2550
2020-08-22,47,19912,2551
2020-08-23,65,19977,2552
2020-08-24,60,20037,2552
2020-08-25,69,20106,2552
2020-08-26,97,20203,2552
2020-08-27,99,20302,2552
2020-08-28,104,20406,2553
2020-08-29,95,20501,2553
2020-08-30,102,20603,2553
2020-08-31,144,20747,2553
2020-09-01,199,20946,2553
2020-09-02,191,21137,2554
2020-09-03,200,21337,2555
2020-09-04,171,21508,2556
2020-09-05,136,21644,2556
2020-09-06,153,21797,2556
2020-09-07,167,21964,2556
2020-09-08,102,22066,2556
2020-09-09,222,22288,2556
2020-09-10,216,22504,2556
2020-09-11,209,22713,2556
2020-09-12,207,22920,2556
2020-09-13,166,23086,2557
2020-09-14,177,23263,2560
2020-09-15,227,23490,2560
2020-09-16,268,23758,2560
2020-09-17,254,24012,2561
2020-09-18,269,24281,2563
2020-09-19,232,24513,2563
2020-09-20,315,24828,2566
2020-09-21,454,25282,2568
2020-09-22,493,25775,2570
2020-09-23,567,26342,2572
2020-09-24,715,27057,2574
2020-09-25,577,27634,2575
2020-09-26,434,28068,2577
2020-09-27,357,28425,2579
2020-09-28,624,29049,2582
2020-09-29,659,29708,2583
2020-09-30,794,30502,2587
2020-10-01,778,31280,2592
2020-10-02,817,32097,2593
2020-10-03,695,32792,2596
2020-10-04,741,33533,2599
2020-10-05,1098,34631,2601
2020-10-06,1189,35820,2605
2020-10-07,1251,37071,2614
2020-10-08,1170,38241,2625
2020-10-09,1095,39336,2631
2020-10-10,938,40274,2642
2020-10-11,957,41231,2653
2020-10-12,1352,42583,2661
2020-10-13,1420,44003,2673
2020-10-14,1288,45291,2679
2020-10-15,1292,46583,2695
2020-10-16,1250,47833,2715
2020-10-17,854,48687,2725
2020-10-18,832,49519,2747
2020-10-19,1354,50873,2763
2020-10-20,1688,52561,2782
2020-10-21,1578,54139,2793
2020-10-22,1491,55630,2810
2020-10-23,1280,56910,2828
2020-10-24,948,57858,2848
2020-10-25,937,58795,2871
2020-10-26,1344,60139,2902
2020-10-27,1301,61440,2918
2020-10-28,1265,62705,2947
2020-10-29,1096,63801,2976
2020-10-30,1089,64890,3011
2020-10-31,741,65631,3035
2020-11-01,969,66600,3070
2020-11-02,1474,68074,3100
2020-11-03,1388,69462,3135
2020-11-04,1300,70762,3154
2020-11-05,1290,72052,3195
2020-11-06,1131,73183,3222
2020-11-07,837,74020,3259
2020-11-08,873,74893,3295
2020-11-09,1295,76188,3337
2020-11-10,1285,77473,3373
2020-11-11,1246,78719,3410
2020-11-12,1194,79913,3442
2020-11-13,1053,80966,3480
2020-11-14,903,81869,3521
2020-11-15,812,82681,3555
2020-11-16,1273,83954,3588
2020-11-17,1224,85178,3624
2020-11-18,1110,86288,3648
2020-11-19,980,87268,3673
2020-11-20,858,88126,3702
2020-11-21,762,88888,3735
2020-11-22,706,89594,3771
2020-11-23,1153,90747,3802
2020-11-24,990,91737,3832
2020-11-25,929,92666,3864
2020-11-26,799,93465,3887
2020-11-27,735,94200,3911
2020-11-28,571,94771,3952
2020-11-29,555,95326,3980
2020-11-30,972,96298,4012
2020-12-01,923,97221,4039
2020-12-02,948,98169,4059
2020-12-03,803,98972,4095
2020-12-04,646,99618,4124
2020-12-05,662,100280,4143
2020-12-06,643,100923,4172
2020-12-07,949,101872,4201
2020-12-08,1040,102912,4229
2020-12-09,996,103908,4252
2020-12-10,891,104799,4275
2020-12-11,864,105663,4295
2020-12-12,677,106340,4318
2020-12-13,720,107060,4344
2020-12-14,1083,108143,4375
2020-12-15,1033,109176,4407
2020-12-16,1028,110204,4438
2020-12-17,911,111115,4474
2020-12-18,920,112035,4497
2020-12-19,747,112782,4524
2020-12-20,812,113594,4553
2020-12-21,1304,114898,4578
2020-12-22,1326,116224,4606
2020-12-23,1313,117537,4641
2020-12-24,1017,118554,4677
2020-12-25,515,119069,4712
2020-12-26,1050,120119,4746
2020-12-27,1681,121800,4780
2020-12-28,1804,123604,4811
2020-12-29,3133,126737,4837
2020-12-30,2963,129700,4869
2020-12-31,2374,132074,4913
2021-01-01,1159,133233,4948
2021-01-02,2211,135444,4990
2021-01-03,2218,137662,5032
2021-01-04,2376,140038,5069
2021-01-05,3050,143088,5109
2021-01-06,2548,145636,5157
2021-01-07,2197,147833,5201
2021-01-08,1823,149656,5243
2021-01-09,1497,151153,5281
2021-01-10,1423,152576,5340
2021-01-11,2087,154663,5388
2021-01-12,1977,156640,5439
2021-01-13,1712,158352,5490
2021-01-14,1620,159972,5548
2021-01-15,1535,161507,5606
2021-01-16,1176,162683,5682
2021-01-17,1199,163882,5725
2021-01-18,1735,165617,5788
2021-01-19,1548,167165,5858
2021-01-20,1572,168737,5924
2021-01-21,1240,169977,5981
2021-01-22,1228,171205,6049
2021-01-23,936,172141,6102
2021-01-24,857,172998,6172
2021-01-25,1318,174316,6224
2021-01-26,1178,175494,6274
2021-01-27,1112,176606,6335
2021-01-28,1113,177719,6381
2021-01-29,961,178680,6440
2021-01-30,779,179459,6484
2021-01-31,809,180268,6532
2021-02-01,1095,181363,6575
2021-02-02,1049,182412,6619
2021-02-03,930,183342,6667
2021-02-04,899,184241,6699
2021-02-05,935,185176,6743
2021-02-06,698,185874,6794
2021-02-07,654,186528,6836
2021-02-08,991,187519,6876
2021-02-09,758,188277,6925
2021-02-10,845,189122,6962
2021-02-11,842,189964,6997
2021-02-12,902,190866,7038
2021-02-13,542,191408,7070
2021-02-14,681,192089,7102
2021-02-15,963,193052,7136
2021-02-16,912,193964,7162
2021-02-17,825,194789,7190
2021-02-18,879,195668,7225
2021-02-19,890,196558,7269
2021-02-20,660,197218,7296
2021-02-21,609,197827,7316
2021-02-22,787,198614,7338
2021-02-23,693,199307,7354
2021-02-24,699,200006,7372
2021-02-25,628,200634,7392
2021-02-26,514,201148,7408
2021-02-27,414,201562,7427
2021-02-28,426,201988,7436
2021-03-01,547,202535,7456
2021-03-02,518,203053,7468
2021-03-03,495,203548,7479
2021-03-04,558,204106,7493
2021-03-05,465,204571,7501
2021-03-06,480,205051,7511
2021-03-07,433,205484,7521
2021-03-08,588,206072,7536
2021-03-09,653,206725,7546
2021-03-10,622,207347,7551
2021-03-11,662,208009,7559
2021-03-12,584,208593,7565
2021-03-13,464,209057,7569
2021-03-14,443,209500,7576
2021-03-15,688,210188,7577
2021-03-16,572,210760,7588
2021-03-17,597,211357,7596
2021-03-18,552,211909,7599
2021-03-19,542,212451,7605
2021-03-20,458,212909,7610
2021-03-21,463,213372,7614
2021-03-22,680,214052,7617
2021-03-23,603,214655,7620
2021-03-24,541,215196,7624
2021-03-25,573,215769,7631
2021-03-26,474,216243,7636
2021-03-27,386,216629,7641
2021-03-28,357,216986,7646
2021-03-29,514,217500,7651
2021-03-30,394,217894,7653
2021-03-31,394,218288,7654
2021-04-01,413,218701,7655
2021-04-02,353,219054,7657
2021-04-03,280,219334,7659
2021-04-04,254,219588,7660
2021-04-05,293,219881,7664
2021-04-06,356,220237,7666
2021-04-07,282,220519,7668
2021-04-08,282,220801,7670
2021-04-09,266,221067,7672
2021-04-10,227,221294,7675
2021-04-11,212,221506,7677
2021-04-12,260,221766,7677
2021-04-13,261,222027,7677
2021-04-14,212,222239,7680
2021-04-15,198,222437,7682
2021-04-16,382,222819,7683
2021-04-17,202,223021,7684
2021-04-18,178,223199,7684
2021-04-19,264,223463,7685
2021-04-20,242,223705,7686
2021-04-21,237,223942,7689
2021-04-22,231,224173,7689
2021-04-23,188,224361,7691
2021-04-24,150,224511,7691
2021-04-25,109,224620,7693
2021-04-26,195,224815,7695
2021-04-27,195,225010,7696
2021-04-28,193,225203,7697
2021-04-29,174,225377,7697
2021-04-30,172,225549,7697
2021-05-01,126,225675,7697
2021-05-02,121,225796,7698
2021-05-03,162,225958,7698
2021-05-04,196,226154,7698
2021-05-05,222,226376,7698
2021-05-06,218,226594,7698
2021-05-07,203,226797,7698
2021-05-08,185,226982,7698
2021-05-09,210,227192,7698
2021-05-10,329,227521,7698
2021-05-11,283,227804,7698
2021-05-12,298,228102,7700
2021-05-13,314,228416,7700
2021-05-14,291,228707,7700
2021-05-15,228,228935,7700
2021-05-16,231,229166,7700
2021-05-17,361,229527,7701
2021-05-18,417,229944,7701
2021-05-19,409,230353,7701
2021-05-20,381,230734,7701
2021-05-21,360,231094,7701
2021-05-22,291,231385,7702
2021-05-23,324,231709,7703
2021-05-24,496,232205,7703
2021-05-25,504,232709,7703
2021-05-26,627,233336,7704
2021-05-27,552,233888,7705
2021-05-28,549,234437,7706
2021-05-29,435,234872,7708
2021-05-30,486,235358,7709
2021-05-31,601,235959,7709
2021-06-01,773,236732,7709
2021-06-02,959,237691,7710
2021-06-03,949,238640,7712
2021-06-04,822,239462,7713
2021-06-05,606,240068,7713
2021-06-06,677,240745,7714
2021-06-07,953,241698,7715
2021-06-08,1026,242724,7715
2021-06-09,1056,243780,7717
2021-06-10,1040,244820,7719
2021-06-11,865,245685,7719
2021-06-12,706,246391,7719
2021-06-13,855,247246,7722
2021-06-14,1129,248375,7723
2021-06-15,1279,249654,7729
2021-06-16,1265,250919,7730
2021-06-17,1164,252083,7731
2021-06-18,1231,253314,7734
2021-06-19,997,254311,7736
2021-06-20,1548,255859,7739
2021-06-21,3019,258878,7741
2021-06-22,3243,262121,7745
2021-06-23,2891,265012,7746
2021-06-24,2947,267959,7748
2021-06-25,2619,270578,7749
2021-06-26,2292,272870,7757
2021-06-27,2511,275381,7760
2021-06-28,3922,279303,7763
2021-06-29,3873,283176,7766
2021-06-30,3907,287083,7767
2021-07-01,3429,290512,7769
2021-07-02,3078,293590,7771
2021-07-03,2509,296099,7775
2021-07-04,2407,298506,7781
2021-07-05,3378,301884,7786
2021-07-06,3091,304975,7799
2021-07-07,2896,307871,7804
2021-07-08,2729,310600,7816
2021-07-09,2382,312982,7823
2021-07-10,1812,314794,7831
2021-07-11,1881,316675,7837
2021-07-12,2577,319252,7844
2021-07-13,2444,321696,7853
2021-07-14,2204,323900,7861
2021-07-15,1963,325863,7868
2021-07-16,1749,327612,7873
2021-07-17,1400,329012,7880
2021-07-18,1385,330397,7888
2021-07-19,1908,332305,7897
2021-07-20,1598,333903,7903
2021-07-21,1573,335476,7911
2021-07-22,1378,336854,7920
2021-07-23,1277,338131,7927
2021-07-24,954,339085,7930
2021-07-25,942,340027,7935
2021-07-26,1372,341399,7942
2021-07-27,1353,342752,7950
2021-07-28,1286,344038,7959
2021-07-29,1171,345209,7965
2021-07-30,1034,346243,7972
2021-07-31,769,347012,7978
2021-08-01,873,347885,7988
2021-08-02,1322,349207,7995
2021-08-03,1366,350573,7998
2021-08-04,1292,351865,8004
2021-08-05,1331,353196,8011
2021-08-06,1256,354452,8018
2021-08-07,941,355393,8024
2021-08-08,1040,356433,8030
2021-08-09,1488,357921,8036
2021-08-10,1518,359439,8041
2021-08-11,1567,361006,8044
2021-08-12,1391,362397,8048
2021-08-13,1523,363920,8058
2021-08-14,1471,365391,8064
2021-08-15,1628,367019,8070
2021-08-16,2746,369765,8073
2021-08-17,3362,373127,8077
2021-08-18,3704,376831,8084
2021-08-19,3711,380542,8091
2021-08-20,3422,383964,8098
2021-08-21,3030,386994,8103
2021-08-22,3646,390640,8107
2021-08-23,5518,396158,8114
2021-08-24,5597,401755,8118
2021-08-25,6823,408578,8123
2021-08-26,7223,415801,8128
2021-08-27,6020,421821,8138
2021-08-28,4736,426557,8146
2021-08-29,4431,430988,8154
2021-08-30,6519,437507,8160
2021-08-31,6957,444464,8170
2021-09-01,7491,451955,8178
2021-09-02,7526,459481,8189
2021-09-03,6130,465611,8200
2021-09-04,4986,470597,8210
2021-09-05,4900,475497,8227
2021-09-06,7086,482583,8237
2021-09-07,6658,489241,8255
2021-09-08,6209,495450,8265
2021-09-09,5516,500966,8282
2021-09-10,4757,505723,8307
2021-09-11,3616,509339,8328
2021-09-12,3353,512692,8350
2021-09-13,5053,517745,8371
2021-09-14,4745,522490,8391
2021-09-15,4050,526540,8414
2021-09-16,3555,530095,8430
2021-09-17,3354,533449,8454
2021-09-18,2604,536053,8475
2021-09-19,2781,538834,8503
2021-09-20,3991,542825,8523
2021-09-21,3780,546605,8544
2021-09-22,3488,550093,8575
2021-09-23,3096,553189,8594
2021-09-24,2698,555887,8616
2021-09-25,2125,558012,8637
2021-09-26,2135,560147,8657
2021-09-27,3112,563259,8681
2021-09-28,3175,566434,8697
2021-09-29,2586,569020,8722
2021-09-30,2361,571381,8738
2021-10-01,2040,573421,8757
2021-10-02,1860,575281,8780
2021-10-03,1979,577260,8795
2021-10-04,2945,580205,8809
2021-10-05,2831,583036,8832
2021-10-06,2637,585673,8845
2021-10-07,2594,588267,8864
2021-10-08,2279,590546,8878
2021-10-09,2129,592675,8895
2021-10-10,1879,594554,8909
2021-10-11,2813,597367,8931
2021-10-12,2621,599988,8947
2021-10-13,2631,602619,8966
2021-10-14,2673,605292,8986
2021-10-15,2568,607860,9002
2021-10-16,2149,610009,9020
2021-10-17,2299,612308,9035
2021-10-18,2950,615258,9050
2021-10-19,2764,618022,9059
2021-10-20,2840,620862,9075
2021-10-21,2537,623399,9097
2021-10-22,2444,625843,9113
2021-10-23,2132,627975,9136
2021-10-24,2319,630294,9157
2021-10-25,3296,633590,9165
2021-10-26,2916,636506,9184
2021-10-27,2651,639157,9198
2021-10-28,2497,641654,9218
2021-10-29,2547,644201,9237
2021-10-30,2029,646230,9253
2021-10-31,2071,648301,9269
2021-11-01,3301,651602,9296
2021-11-02,3046,654648,9309
2021-11-03,2983,657631,9325
2021-11-04,2798,660429,9347
2021-11-05,2781,663210,9364
2021-11-06,2226,665436,9381
2021-11-07,2301,667737,9393
2021-11-08,3822,671559,9405
2021-11-09,3456,675015,9411
2021-11-10,3295,678310,9425
2021-11-11,3216,681526,9433
2021-11-12,2856,684382,9450
2021-11-13,2321,686703,9460
2021-11-14,2423,689126,9475
2021-11-15,3642,692768,9494
2021-11-16,3280,696048,9499
2021-11-17,3318,699366,9511
2021-11-18,2992,702358,9520
2021-11-19,2785,705143,9529
2021-11-20,2214,707357,9539
2021-11-21,2175,709532,9548
2021-11-22,3161,712693,9563
2021-11-23,2882,715575,9575
2021-11-24,2896,718471,9581
2021-11-25,2493,720964,9591
2021-11-26,2236,723200,9606
2021-11-27,1884,725084,9619
2021-11-28,2331,727415,9635
2021-11-29,3458,730873,9646
2021-11-30,3295,734168,9649
2021-12-01,3094,737262,9663
2021-12-02,2927,740189,9675
2021-12-03,2641,742830,9682
2021-12-04,2123,744953,9694
2021-12-05,2485,747438,9702
2021-12-06,3765,751203,9715
2021-12-07,3720,754923,9733
2021-12-08,4125,759048,9743
2021-12-09,3964,763012,9752
2021-12-10,3722,766734,9759
2021-12-11,3231,769965,9767
2021-12-12,3328,773293,9775
2021-12-13,5601,778894,9780
2021-12-14,6259,785153,9788
2021-12-15,6847,792000,9794
2021-12-16,6269,798269,9801
2021-12-17,5600,803869,9807
2021-12-18,4920,808789,9814
2021-12-19,5273,814062,9820
2021-12-20,8089,822151,9831
2021-12-21,9735,831886,9840
2021-12-22,10902,842788,9847
2021-12-23,11325,854113,9852
2021-12-24,8943,863056,9857
2021-12-25,4517,867573,9865
2021-12-26,6976,874549,9867
2021-12-27,17292,891841,9876
2021-12-28,18264,910105,9889
2021-12-29,21427,931532,9898
2021-12-30,20167,951699,9908
2021-12-31,16158,967857,9917
2022-01-01,6792,974649,9926
2022-01-02,14298,988947,9933
2022-01-03,17739,1006686,9940
2022-01-04,17859,1024545,9959
2022-01-05,18482,1043027,9969
2022-01-06,10712,1053739,9988
2022-01-07,6462,1060201,9998
2022-01-08,4641,1064842,10012
2022-01-09,4391,1069233,10030
2022-01-10,6392,1075625,10048
2022-01-11,5503,1081128,10062
2022-01-12,4777,1085905,10078
2022-01-13,4514,1090419,10108
2022-01-14,3866,1094285,10126
2022-01-15,3097,1097382,10149
2022-01-16,3290,1100672,10168
2022-01-17,5102,1105774,10186
2022-01-18,4501,1110275,10199
2022-01-19,4105,1114380,10221
2022-01-20,3643,1118023,10235
2022-01-21,3364,1121387,10254
2022-01-22,2801,1124188,10262
2022-01-23,2811,1126999,10277
2022-01-24,4809,1131808,10288
2022-01-25,4232,1136040,10299
2022-01-26,3987,1140027,10306
2022-01-27,3582,1143609,10310
2022-01-28,3238,1146847,10311
2022-01-29,1793,1148640,10311
2022-01-30,132,1148772,10311
