NHSGeometry;NHSCode;NHS Name;NHSPoint;NHS Region Name Welsh
[[[[-7.550840999999999,56.945417],[-7.43514,56.945417],[-7.377288999999999,57.007076],[-7.492991,57.007076],[-7.550840999999999,56.945417]]],[[[-7.319438,57.037906],[-7.203736379562044,57.13039410396039],[-7.247124498175182,57.19976052351485],[-7.203736379562044,57.25371218316831],[-7.203736379562044,57.407859782178214],[-7.088034729927008,57.53117786138613],[-7.088034729927008,57.65449594059405],[-7.160348260948906,57.7392771200495],[-7.420676972627738,57.67761808044554],[-7.550841328467154,57.59283690099009],[-7.435139678832117,57.50034834158416],[-7.435139678832117,57.25371218316831],[-7.478527797445256,57.19976052351485],[-7.319438,57.037906]]],[[[-7.088035,57.746984999999995],[-6.8710941368613145,57.75469187995049],[-6.35043671350365,58.032157558168315],[-6.335974007299271,58.17859777722772],[-6.162421532846716,58.33274537623762],[-6.176884239051095,58.479185595297025],[-6.3215113010948905,58.51001511509901],[-7.131422848540146,58.170890397277226],[-7.088034729927008,57.870302579207916],[-7.145885554744526,57.808643539603956],[-7.088035,57.746984999999995]]]];S08000028;Western Isles;[-6.90001954927007,58.0140455402847];
[[[[-2.807074,56.452144999999994],[-2.474431450729927,56.58317012747524],[-2.459968744525548,56.69878082673267],[-2.4021179999999998,56.760439999999996],[-2.619058512773723,56.798976766089105],[-2.70583475,56.90688008539603],[-2.8649245182481753,56.97624650495049],[-3.03847699270073,56.97624650495049],[-3.1107905237226277,56.922294845297024],[-3.3855819416058397,56.88375794554455],[-3.7905379999999997,56.945417],[-4.585986556569344,56.75273248638614],[-4.6583000875912415,56.66795130693069],[-4.6583,56.482974],[-4.36904596350365,56.513803707920786],[-4.1521053704379565,56.475266808168314],[-4.238881607664234,56.3365339690594],[-3.8917766587591247,56.21321588985148],[-3.6892987718978105,56.19780112995049],[-3.674836,56.143848999999996],[-3.400044647810219,56.15155685024752],[-3.284342998175183,56.21321588985148],[-3.3277311167883212,56.29799706930692],[-3.2554175857664234,56.351948728960394],[-2.807074,56.452144999999994]]]];S08000030;Tayside;[-3.65555249310625,56.5600477524752];
[[[[-2.807074,56.452144999999994],[-3.2554175857664234,56.351948728960394],[-3.3277311167883212,56.29799706930692],[-3.284342998175183,56.21321588985148],[-3.400044647810219,56.15155685024752],[-3.674836,56.143848999999996],[-3.674836,56.051361],[-3.501284,56.020531],[-3.212029,56.020531],[-2.966163461678833,56.16697161014851],[-2.590133100364964,56.24404540965346],[-2.590133100364964,56.29028968935643],[-2.7926109872262774,56.39819300866336],[-2.807074,56.452144999999994]]]];S08000029;Fife;[-3.15933363185662,56.22554765];
[[[[-3.7905379999999997,56.945417],[-3.3855819416058397,56.88375794554455],[-3.1107905237226277,56.922294845297024],[-3.03847699270073,56.97624650495049],[-2.8649245182481753,56.97624650495049],[-2.70583475,56.90688008539603],[-2.619058512773723,56.798976766089105],[-2.4021179999999998,56.760439999999996],[-2.1851773266423358,56.89146532549505],[-2.0984010894160585,57.061027684405936],[-1.9971621459854019,57.13039410396039],[-1.9826994397810225,57.2768343230198],[-1.7802215529197083,57.446396681930686],[-1.765758846715329,57.56200738118812],[-1.8380723777372268,57.64678856064356],[-2.0550129708029203,57.71615498019801],[-3.03847699270073,57.68532546039604],[-3.3711192354014603,57.7392771200495],[-3.732687,57.623666],[-3.6603733594890517,57.47722620173267],[-3.3855819416058397,57.37703026237623],[-3.443432766423358,57.31537122277227],[-3.4578954726277376,57.16893100371287],[-3.7182241843065693,57.09185720420792],[-3.7905379999999997,56.945417]]]];S08000020;Grampian;[-2.52200166300237,57.3232713440285];
[[[[-4.137643,56.020531],[-4.021941,56.020531],[-3.7905379999999997,55.897213],[-3.501284,56.020531],[-3.674836,56.051361],[-3.674836,56.143848999999996],[-3.6892987718978105,56.19780112995049],[-3.8917766587591247,56.21321588985148],[-4.238881607664234,56.3365339690594],[-4.1521053704379565,56.475266808168314],[-4.36904596350365,56.513803707920786],[-4.6583,56.482974],[-4.7740017372262775,56.35965610891088],[-4.672762793795621,56.29028968935643],[-4.7016882062043805,56.1823863700495],[-4.600449,56.051361],[-4.354583257299271,55.96657973143564],[-4.137643,56.020531]]]];S08000019;Forth Valley;[-4.43665486711811,56.2825821924505];
[[[[-4.137643,56.020531],[-4.354583257299271,55.96657973143564],[-4.600449,56.051361],[-4.614911968978102,55.96657973143564],[-4.875240680656935,55.95116497153465],[-4.889703,55.866384],[-4.253344,55.681407],[-4.1954934890510955,55.7122361930693],[-4.238881607664234,55.79701737252475],[-4.094254545620438,55.8740911720297],[-4.137643,56.020531]]]];S08000031;Greater Glasgow and Clyde;[-4.36248716395773,55.8478863];
[[[[-3.038477,59.257630999999996],[-2.8793872244525547,59.26533835024752],[-2.8793872244525547,59.37324166955445],[-3.0240142864963504,59.31158262995049],[-3.038477,59.257630999999996]]],[[[-2.9227749999999997,58.826018],[-2.9227749999999997,58.733529],[-3.038477,58.795187999999996],[-3.038477,58.826018],[-2.9227749999999997,58.826018]]],[[[-2.633521,59.226800999999995],[-2.5612076879562045,59.31158262995049],[-2.459968744525548,59.288460490099006],[-2.633521,59.226800999999995]]],[[[-2.9227749999999997,58.826018],[-2.9950888740875916,58.91079887252475],[-3.0963278175182483,58.91850625247525],[-3.1541786423357667,58.88767673267326],[-3.1107905237226277,58.8337250730198],[-3.168641348540146,58.77206603341584],[-3.313268410583942,58.77206603341584],[-3.4289700602189788,58.8337250730198],[-3.443432766423358,58.94933577227722],[-3.3711192354014603,59.09577599133663],[-3.05293969890511,59.18826455074257],[-2.691372043795621,58.94933577227722],[-2.9227749999999997,58.826018]]],[[[-2.807074,59.134313],[-2.807074,59.257630999999996],[-2.7492229999999998,59.257630999999996],[-2.7492229999999998,59.134313],[-2.807074,59.134313]]],[[[-2.633521,59.226800999999995],[-2.619058512773723,59.1420202710396],[-2.5322822755474457,59.126605511138614],[-2.5322822755474457,59.08036123143564],[-2.6769093375912414,59.08036123143564],[-2.691372043795621,59.19597193069307],[-2.633521,59.226800999999995]]]];S08000025;Orkney;[-3.27630816139497,58.93334295888];
[[[[-6.296866,54.579882999999995],[-6.11896825,54.62386886363636],[-6.042726,54.609207],[-6.0173119999999995,54.609207],[-6.0173119999999995,54.638531],[-5.991898,54.653192999999995],[-5.890242,54.653192999999995],[-5.8076466365740735,54.708175624999996],[-5.693283594907408,54.74483073863636],[-5.6869300925925925,54.81447545454545],[-5.718697604166667,54.85479607954545],[-5.858474655092593,54.90611323863636],[-5.896595668981481,54.95743039772727],[-5.9601306921296295,54.994085511363636],[-5.966484194444444,55.04906818181818],[-6.017312212962963,55.093054318181814],[-6.023665715277778,55.17736107954545],[-6.099907743055555,55.22134721590909],[-6.500178388888889,55.25433681818181],[-6.855975,55.166365],[-6.849621016203703,55.111381875],[-6.805146499999999,55.093054318181814],[-6.779732490740741,54.87312363636363],[-6.900449034722222,54.82547198863636],[-6.913156039351851,54.77415482954545],[-7.002105071759259,54.72283767045454],[-7.008458574074074,54.68251704545454],[-6.957630555555555,54.60920681818181],[-6.957631,54.565220999999994],[-6.830560509259259,54.579882727272725],[-6.500178388888889,54.55055863636363],[-6.3985223518518515,54.579882727272725],[-6.296866,54.579882999999995]]],[[[-6.195209999999999,55.298322999999996],[-6.169796,55.298322999999996],[-6.169796,55.268999],[-6.195209999999999,55.268999],[-6.195209999999999,55.298322999999996]]],[[[-6.195209999999999,55.298322999999996],[-6.271452,55.283660999999995],[-6.271452,55.312985],[-6.195209999999999,55.312985],[-6.195209999999999,55.298322999999996]]]];NHSCT;Northern Health and Social Care Trust;[-6.43579623209877,54.9024477272727];
[[[[-6.296866,54.579882999999995],[-6.3985223518518515,54.579882727272725],[-6.500178388888889,54.55055863636363],[-6.830560509259259,54.579882727272725],[-6.957631,54.565220999999994],[-7.040226085648148,54.51023801136363],[-7.357901201388889,54.429596761363634],[-7.332487192129629,54.37827960227272],[-7.186357,54.330628],[-6.989398067129629,54.40027267045454],[-6.913156039351851,54.356286534090906],[-6.8242070069444445,54.21699710227272],[-6.65901594675926,54.165679943181814],[-6.652662444444444,54.125359318181815],[-6.678076453703704,54.06671113636363],[-6.64630894212963,54.04105255681817],[-6.423936361111111,54.05204909090909],[-6.271452305555555,54.09603522727272],[-6.150735761574074,54.063045624999994],[-6.093554,54.022724999999994],[-6.0173119999999995,54.022724999999994],[-5.896595668981481,54.085038693181815],[-5.864828,54.184006999999994],[-6.036372719907407,54.18767301136363],[-6.068140231481481,54.22799363636363],[-5.972837696759259,54.260983238636356],[-5.972837696759259,54.37094857954545],[-6.036372719907407,54.37827960227272],[-6.239684793981481,54.466251875],[-6.296866,54.579882999999995]]]];SHSCT;Southern Health and Social Care Trust;[-6.45089411643302,54.301304];
[[[[-6.296866,54.579882999999995],[-6.239684793981481,54.466251875],[-6.036372719907407,54.37827960227272],[-5.972837696759259,54.37094857954545],[-5.972837696759259,54.260983238636356],[-6.068140231481481,54.22799363636363],[-6.036372719907407,54.18767301136363],[-5.864828,54.184006999999994],[-5.858474655092593,54.20966607954545],[-5.8076466365740735,54.23899017045454],[-5.661516083333334,54.22799363636363],[-5.540799539351852,54.275645284090906],[-5.43279,54.433262],[-5.43279,54.506572999999996],[-5.5662135486111115,54.6788515340909],[-5.712344101851851,54.68251704545454],[-5.864828,54.653192999999995],[-5.858474655092593,54.627534374999996],[-5.769525622685185,54.59087926136363],[-5.845767650462963,54.49557596590908],[-5.8838886643518515,54.49557596590908],[-6.036372719907407,54.58354823863636],[-6.042726,54.609207],[-6.11896825,54.62386886363636],[-6.296866,54.579882999999995]]]];SEHSCT;South Eastern Health and Social Care Trust;[-5.64567828985507,54.4457247738636];
[[[[-5.864828,54.653192999999995],[-5.890242,54.653192999999995],[-5.991898,54.653192999999995],[-6.0173119999999995,54.638531],[-6.0173119999999995,54.609207],[-6.042726,54.609207],[-6.036372719907407,54.58354823863636],[-5.8838886643518515,54.49557596590908],[-5.845767650462963,54.49557596590908],[-5.769525622685185,54.59087926136363],[-5.858474655092593,54.627534374999996],[-5.864828,54.653192999999995]]]];BHSCT;Belfast Health and Social Care Trust;[-5.91998380149624,54.5980270380682];
[[[[-7.186357,54.330628],[-7.332487192129629,54.37827960227272],[-7.357901201388889,54.429596761363634],[-7.040226085648148,54.51023801136363],[-6.957631,54.565220999999994],[-6.957630555555555,54.60920681818181],[-7.008458574074074,54.68251704545454],[-7.002105071759259,54.72283767045454],[-6.913156039351851,54.77415482954545],[-6.900449034722222,54.82547198863636],[-6.779732490740741,54.87312363636363],[-6.805146499999999,55.093054318181814],[-6.849621016203703,55.111381875],[-6.855975,55.166365],[-6.951277053240741,55.192023125],[-7.040226085648148,55.067395738636364],[-7.211770648148148,55.07839227272727],[-7.383315210648147,55.04540267045454],[-7.440496731481481,54.96109590909091],[-7.472264243055555,54.84746505681818],[-7.548506270833333,54.788816874999995],[-7.7200508333333335,54.72650318181818],[-7.8407673773148145,54.73749971590909],[-7.9170094050925925,54.69351357954545],[-7.9170094050925925,54.67152051136363],[-7.866181386574074,54.64219642045454],[-7.777232354166666,54.620203352272725],[-7.777232354166666,54.598210284090904],[-7.853474381944444,54.55422414772727],[-7.9932514328703705,54.546893125],[-8.15208899074074,54.44792431818181],[-8.069493460648149,54.36361755681818],[-7.878888391203703,54.26831426136363],[-7.866181386574074,54.23165914772727],[-7.815353368055555,54.20233505681818],[-7.67557631712963,54.18034198863636],[-7.5675667777777775,54.125359318181815],[-7.268952168981482,54.12902482954545],[-7.230831155092592,54.19500403409091],[-7.13552862037037,54.24265568181818],[-7.180003136574074,54.29030732954545],[-7.186357,54.330628]]]];WHSCT;Western Health and Social Care Trust;[-7.41209283877996,54.5786914360795];
[[[[-3.247086,51.556799],[-3.114371,51.556799],[-3.0811919999999997,51.516391999999996],[-2.948476615384615,51.5163916372549],[-2.649867,51.597206],[-2.649867,51.839648],[-2.824055942307692,51.9154111495098],[-3.006539596153846,51.945716428921564],[-3.048013,51.981072999999995],[-3.0811919999999997,51.960869068627446],[-3.0480131538461537,51.90025850980392],[-3.0894867115384614,51.84469883088235],[-3.3466229999999997,51.799240999999995],[-3.280265076923077,51.698223313725485],[-3.313443923076923,51.61740923529412],[-3.247086,51.556799]]]];W11000028;Aneurin Bevan University Health Board;[-2.98939991,51.74322891];Bwrdd Iechyd Prifysgol Aneurin Bevan
[[[[-3.247086,51.556799],[-3.313443923076923,51.61740923529412],[-3.280265076923077,51.698223313725485],[-3.3466229999999997,51.799240999999995],[-3.4461593076923074,51.819444431372546],[-3.578875,51.758834],[-3.578874692307692,51.678019794117645],[-3.487632865384615,51.61235835539215],[-3.479338,51.516391999999996],[-3.3466229999999997,51.516391999999996],[-3.313444,51.556799],[-3.247086,51.556799]]]];W11000027;Cwm Taf University Health Board;[-3.41506004,51.66880035];Bwrdd Iechyd Prifysgol Cwm Taf
[[[[-3.247086,51.556799],[-3.313444,51.556799],[-3.3466229999999997,51.516391999999996],[-3.479338,51.516391999999996],[-3.645232,51.455780999999995],[-3.578875,51.395171],[-3.479338,51.395171],[-3.479338,51.374967],[-3.247086,51.374967],[-3.1558444038461535,51.42042491911764],[-3.0811919999999997,51.516391999999996],[-3.114371,51.556799],[-3.247086,51.556799]]]];W11000029;Cardiff and Vale University Health Board;[-3.39038992,51.46929169];Bwrdd Iechyd Prifysgol Caerdydd a’r Fro
[[[[-4.209273,51.657816],[-4.0848520961538455,51.662867154411764],[-4.001904980769231,51.753782992647054],[-3.811127,51.799240999999995],[-3.7198847884615382,51.88510587009804],[-3.6784112307692305,52.00127610784313],[-3.6784112307692305,52.061886666666666],[-3.744768923076923,52.14270074509804],[-3.744768923076923,52.30432890196078],[-3.711590076923077,52.40534649999999],[-3.83601075,52.51141497794117],[-3.852600173076923,52.56192377696078],[-3.910663,52.566975],[-4.043379,52.526568],[-4.151209788461538,52.329583301470585],[-4.283925173076923,52.24876922303921],[-4.48299825,52.16795514460784],[-4.69866075,52.137649865196074],[-4.91432325,52.02653050735294],[-5.063628057692307,52.016428747549014],[-5.304174692307692,51.90025850980392],[-5.2958799807692305,51.86490235049019],[-5.179754019230769,51.854800590686274],[-5.138280461538462,51.819444431372546],[-5.229522288461538,51.72347771323529],[-4.997270365384615,51.60225659558823],[-4.748429019230769,51.64266363480392],[-4.665481903846153,51.71337595343137],[-4.474703538461538,51.73863035294117],[-4.300514596153846,51.662867154411764],[-4.209273,51.657816]]]];W11000025;Hywel Dda University Health Board;[-4.18274021,52.08504105];Bwrdd Iechyd Prifysgol Hywel Dda
[[[[-4.209273,51.657816],[-4.300514596153846,51.61235835539215],[-4.300514596153846,51.56184955637255],[-4.109736230769231,51.536595156862745],[-3.8774843076923076,51.59720571568627],[-3.7862424807692303,51.55174779656863],[-3.7364742115384613,51.48103547794118],[-3.645232,51.455780999999995],[-3.479338,51.516391999999996],[-3.487632865384615,51.61235835539215],[-3.578874692307692,51.678019794117645],[-3.578875,51.758834],[-3.811127,51.779036999999995],[-3.811127,51.799240999999995],[-4.001904980769231,51.753782992647054],[-4.0848520961538455,51.662867154411764],[-4.209273,51.657816]]]];W11000026;Abertawe Bro Morgannwg University Health Board;[-3.9867599,51.63658142];Bwrdd Iechyd Prifysgol Abertawe Bro Morgannwg
[[[[-4.5078819999999995,53.435725999999995],[-4.565945365384615,53.41047160049019],[-4.615713634615385,53.3195557622549],[-4.69866075,53.29935224264705],[-4.341988153846154,53.09226616666666],[-4.516177096153846,52.95589240931372],[-4.731839596153846,52.86497657107843],[-4.7733131538461535,52.80941689215686],[-4.507882384615384,52.789213372549014],[-4.466408826923077,52.84477305147058],[-4.366872288461538,52.88518009068627],[-4.151209788461538,52.88518009068627],[-4.142915076923076,52.789213372549014],[-4.076557384615384,52.70839929411764],[-4.142915076923076,52.60738169607843],[-4.043379,52.526568],[-3.910663,52.566975],[-3.8028319038461538,52.662941374999996],[-3.6203482499999997,52.69324665441176],[-3.578874692307692,52.74880633333333],[-3.6120535384615384,52.789213372549014],[-3.5705799807692307,52.82456953186274],[-3.346622769230769,52.890230970588235],[-3.2470862307692303,52.87002745098039],[-3.14755,52.890231],[-3.0148343076923076,52.930638009803914],[-2.8821189230769226,52.930638009803914],[-2.790877096153846,52.89528185049019],[-2.7245194038461538,52.91548537009803],[-2.716224692307692,52.9710450490196],[-2.8406453653846153,53.03670648774509],[-2.915297769230769,53.13267320588235],[-2.9235924807692304,53.20843640441176],[-3.288559788461538,53.349861041666664],[-3.4129804615384614,53.35491192156862],[-3.545695846153846,53.314504882352935],[-3.811126615384615,53.33470840196078],[-4.010199692307692,53.27409784313725],[-4.05167325,53.30945400245098],[-4.167799211538462,53.3195557622549],[-4.341988,53.435725999999995],[-4.5078819999999995,53.435725999999995]]]];W11000023;Betsi Cadwaladr University Health Board;[-3.75274992,52.99951172];Bwrdd Iechyd Prifysgol Betsi Cadwaladr
[[[[-3.14755,52.890231],[-3.2470862307692303,52.87002745098039],[-3.346622769230769,52.890230970588235],[-3.5705799807692307,52.82456953186274],[-3.6120535384615384,52.789213372549014],[-3.578874692307692,52.74880633333333],[-3.6203482499999997,52.69324665441176],[-3.8028319038461538,52.662941374999996],[-3.910663,52.566975],[-3.852600173076923,52.56192377696078],[-3.83601075,52.51141497794117],[-3.711590076923077,52.40534649999999],[-3.744768923076923,52.30432890196078],[-3.744768923076923,52.14270074509804],[-3.6784112307692305,52.061886666666666],[-3.6784112307692305,52.00127610784313],[-3.7198847884615382,51.88510587009804],[-3.811127,51.799240999999995],[-3.811127,51.779036999999995],[-3.578875,51.758834],[-3.4461593076923074,51.819444431372546],[-3.3466229999999997,51.799240999999995],[-3.0894867115384614,51.84469883088235],[-3.0480131538461537,51.90025850980392],[-3.0811919999999997,51.960869068627446],[-3.048013,51.981072999999995],[-3.0811919999999997,52.04168314705882],[-3.0811919999999997,52.18310778431372],[-3.039718442307692,52.23866746323529],[-2.956771326923077,52.26897274264706],[-2.981655461538461,52.30432890196078],[-2.956771326923077,52.33968506127451],[-3.072897288461538,52.36999034068627],[-3.1807285384615382,52.44575353921568],[-2.989950173076923,52.55182201715686],[-3.072897288461538,52.572025536764706],[-3.0811919999999997,52.60738169607843],[-2.981655461538461,52.74880633333333],[-3.1392549807692305,52.834671291666666],[-3.14755,52.890231]]]];W11000024;Powys Teaching Health Board;[-3.43532991,52.348629];Bwrdd Iechyd Addysgu Powys
